	Trial	Variance	Anisotropy	Domain	Regime	Time_series	Chem	Delay	Memory	Crosscorrelation	fraction	Time
82	39	0.1	10	Original	Slow	2	Ammonium	285	0	-0.24077274077747682	0.9878048780487804	202.5
83	39	0.1	10	Original	Slow	2	Nitrate	85	130	0.7810825397537473	0.9878048780487804	202.5
84	39	0.1	10	Original	Slow	2	Sulphate	0	0	0.011327574397984704	0.9878048780487804	202.5
85	39	0.1	10	Original	Slow	2	Particulate organic matter	40	0	0.5326401984466111	0.9878048780487804	202.5
86	39	0.1	10	Original	Slow	2	Nitrogen	440	0	-0.565586496285263	0.9878048780487804	202.5
87	39	0.1	10	Original	Slow	2	TOC	375	0	-0.7731939033157935	0.9878048780487804	202.5
88	39	0.1	10	Original	Slow	5	DOC	45	0	0.15733321160802263	0.9878048780487804	202.5
89	39	0.1	10	Original	Slow	5	DO	75	80	0.7381986008282828	0.9878048780487804	202.5
90	39	0.1	10	Original	Slow	5	Ammonium	245	0	-0.35025552892596085	0.9878048780487804	202.5
91	39	0.1	10	Original	Slow	5	Nitrate	90	175	0.8357034883974945	0.9878048780487804	202.5
92	39	0.1	10	Original	Slow	5	Sulphate	0	0	-0.0335967141738451	0.9878048780487804	202.5
93	39	0.1	10	Original	Slow	5	Particulate organic matter	20	0	0.6097867287012271	0.9878048780487804	202.5
94	39	0.1	10	Original	Slow	5	Nitrogen	430	0	-0.5263508178173553	0.9878048780487804	202.5
95	39	0.1	10	Original	Slow	5	TOC	345	0	-0.7368577134439995	0.9878048780487804	202.5
96	40	1.0	2	Original	Slow	1	DOC	0	0	0.20891063109289676	0.8170731707317073	167.5
97	40	1.0	2	Original	Slow	1	DO	45	0	0.6530064291932361	0.8170731707317073	167.5
98	40	1.0	2	Original	Slow	1	Ammonium	125	0	-0.06669985965285904	0.8170731707317073	167.5
99	40	1.0	2	Original	Slow	1	Nitrate	45	0	0.6990722001036543	0.8170731707317073	167.5
100	40	1.0	2	Original	Slow	1	Sulphate	0	0	0.07464802140506925	0.8170731707317073	167.5
101	40	1.0	2	Original	Slow	1	Particulate organic matter	40	0	0.6658072912246522	0.8170731707317073	167.5
102	40	1.0	2	Original	Slow	1	Nitrogen	0	0	0.4624010241351603	0.8170731707317073	167.5
103	40	1.0	2	Original	Slow	1	TOC	200	0	-0.35471035917672616	0.8170731707317073	167.5
104	40	1.0	2	Original	Slow	2	DOC	70	0	0.3351750157864495	0.8170731707317073	167.5
105	40	1.0	2	Original	Slow	2	DO	35	0	0.6995400267015593	0.8170731707317073	167.5
106	40	1.0	2	Original	Slow	2	Ammonium	185	0	-0.15110939672607634	0.8170731707317073	167.5
107	40	1.0	2	Original	Slow	2	Nitrate	45	95	0.7710848170015094	0.8170731707317073	167.5
108	40	1.0	2	Original	Slow	2	Sulphate	0	0	0.011327525363334388	0.8170731707317073	167.5
109	40	1.0	2	Original	Slow	2	Particulate organic matter	35	0	0.5796562871034258	0.8170731707317073	167.5
110	40	1.0	2	Original	Slow	2	Nitrogen	960	0	-0.521128407872991	0.8170731707317073	167.5
111	40	1.0	2	Original	Slow	2	TOC	435	0	-0.7192500961454195	0.8170731707317073	167.5
112	40	1.0	2	Original	Slow	5	DOC	95	0	0.39780610577716197	0.8170731707317073	167.5
113	40	1.0	2	Original	Slow	5	DO	30	85	0.7666133572017062	0.8170731707317073	167.5
114	40	1.0	2	Original	Slow	5	Ammonium	0	0	-0.18601387534825573	0.8170731707317073	167.5
115	40	1.0	2	Original	Slow	5	Nitrate	45	130	0.8365061881959782	0.8170731707317073	167.5
116	40	1.0	2	Original	Slow	5	Sulphate	0	0	-0.033596793828191716	0.8170731707317073	167.5
117	40	1.0	2	Original	Slow	5	Particulate organic matter	40	0	0.609949937696238	0.8170731707317073	167.5
118	40	1.0	2	Original	Slow	5	Nitrogen	540	0	-0.4779851137693739	0.8170731707317073	167.5
119	40	1.0	2	Original	Slow	5	TOC	330	0	-0.7140468175282704	0.8170731707317073	167.5
120	41	1.0	5	Original	Slow	1	DOC	0	0	0.18097520328915584	0.8902439024390244	182.5
121	41	1.0	5	Original	Slow	1	DO	55	0	0.607483432597653	0.8902439024390244	182.5
122	41	1.0	5	Original	Slow	1	Ammonium	140	0	-0.07823928860912746	0.8902439024390244	182.5
123	41	1.0	5	Original	Slow	1	Nitrate	60	0	0.6738633098606192	0.8902439024390244	182.5
124	41	1.0	5	Original	Slow	1	Sulphate	0	0	0.07464802199103975	0.8902439024390244	182.5
125	41	1.0	5	Original	Slow	1	Particulate organic matter	40	0	0.6624498670683371	0.8902439024390244	182.5
126	41	1.0	5	Original	Slow	1	Nitrogen	0	0	0.41615872516514507	0.8902439024390244	182.5
127	41	1.0	5	Original	Slow	1	TOC	215	0	-0.5194814532278442	0.8902439024390244	182.5
128	41	1.0	5	Original	Slow	2	DOC	65	0	0.24691196570779933	0.8902439024390244	182.5
129	41	1.0	5	Original	Slow	2	DO	45	0	0.6467296958555776	0.8902439024390244	182.5
