Day,H1,H2,H3
198,1.52571719,0.581099264,1.697893274
199,1.564195175,0.60811008,1.717869273
200,1.522331196,0.632193252,1.736760813
201,1.543583026,0.639429497,1.729878642
202,1.470498822,0.62831217,1.703515463
203,1.456847026,0.610248122,1.699985262
204,1.407906906,0.598957227,1.646073238
205,1.362880681,0.599082033,1.589307704
206,1.46644845,0.604442574,1.588681671
207,1.508659244,0.606451753,1.556351166
208,1.555243734,0.603385437,1.519983279
209,1.513374045,0.601222558,1.489904789
210,1.408591164,0.60614379,1.448035288
211,1.417561669,0.617497859,1.44893035
212,1.402361705,0.629057192,1.427283541
213,1.452360179,0.636964365,1.398892819
214,1.506368384,0.645117784,1.426855162
215,1.518269947,0.661237384,1.413736743
216,1.575625687,0.687112711,1.387188702
217,1.530116014,0.713691978,1.398437952
218,1.475106326,0.727643901,1.409595244
219,1.43438546,0.724253896,1.450649449
220,1.409353864,0.713917015,1.471409156
221,1.493763831,0.714432253,1.474066189
222,1.559381602,0.734752201,1.515277171
223,1.627827274,0.764856089,1.50288547
224,1.664609899,0.781802368,1.475216725
225,1.624222359,0.767611651,1.49723741
226,1.592603282,0.723835971,1.497020362
227,1.544592609,0.670577574,1.50351001
228,1.550425131,0.631457536,1.503430206
229,1.597726917,0.617745221,1.48593129
230,1.623021896,0.624168502,1.520184084
231,1.640157697,0.637530126,1.528414662
232,1.614561382,0.648504798,1.518997866
233,1.579292646,0.656418268,1.562494763
234,1.528132004,0.665318134,1.567177337
235,1.4717779,0.677756107,1.538422332
236,1.463972565,0.692782601,1.517257845
237,1.519296021,0.70827538,1.492688076
238,1.618345586,0.722889287,1.499221163
239,1.665061598,0.734820496,1.493310719
240,1.647319778,0.740108766,1.484748748
241,1.593353653,0.73494421,1.515623358
242,1.568416393,0.72155312,1.515317689
243,1.59705606,0.711140989,1.503731474
244,1.607443468,0.717965297,1.506725647
245,1.643372794,0.747028109,1.506090993
246,1.689521949,0.78609545,1.520457925
247,1.754827336,0.811352566,1.48583558
248,1.811328697,0.80447988,1.440363486
249,1.757319048,0.767506121,1.445411102
250,1.717224835,0.722010211,1.405355271
251,1.714423305,0.692240481,1.379177651
252,1.781815297,0.686136249,1.411502037
253,1.900502016,0.690547555,1.41412756
254,1.915588991,0.68452629,1.428852088
255,1.939441995,0.658598091,1.426502061
256,1.940072031,0.623036844,1.394169332
257,1.925015874,0.598588659,1.418392364
