	Unnamed: 0	Trial	Variance	Anisotropy	Domain	Regime	Time_series	Chem	delmassflux	reldelmassflux	normmassflux	Time	fraction	relbase	normmassflux_fraction
41	41	37	0.1	2	Original	Slow	2	DO	-155.53147998114798	99.57142196198042	0.004285780380195776	205.0	1.0	0.004273277978396626	1.0029257169466521
42	42	37	0.1	2	Original	Slow	2	Ammonium	-7.312686996616148	19.506625569311648	0.8049337443068834	205.0	1.0	0.8022947043224371	1.0032893648309382
43	43	37	0.1	2	Original	Slow	2	Nitrate	-116.34732839738069	74.48568567217974	0.2551431432782028	205.0	1.0	0.25330455902222376	1.0072583938602453
44	44	37	0.1	2	Original	Slow	2	Sulphate	-6.870587071716727e-06	7.33092880968917e-07	0.9999999926690712	205.0	1.0	0.9999999933235211	0.9999999993455502
45	45	37	0.1	2	Original	Slow	2	Particulate organic matter	2.1078090088688413	-67.47108053713073	1.6747108053713073	205.0	1.0	1.6792761829453984	0.9972813420326825
46	46	37	0.1	2	Original	Slow	2	Nitrogen	-110.63224071661206	56.6796417638727	0.4332035823612731	205.0	1.0	0.43018861572790246	1.007008476103602
47	47	37	0.1	2	Original	Slow	2	TOC	-165.58983908011803	32.16346916042665	0.6783653083957335	205.0	1.0	0.6739878698428953	1.0064948328429986
48	48	37	0.1	2	Original	Slow	5	DOC	-295.5609851812551	59.15836975307767	0.40841630246922317	205.0	1.0	0.40761873670699966	1.0019566464698526
49	49	37	0.1	2	Original	Slow	5	DO	-155.45724669964488	99.57035188971923	0.004296481102807479	205.0	1.0	0.004273277978396626	1.0054298186376256
50	50	37	0.1	2	Original	Slow	5	Ammonium	-7.294292470367581	19.46664017171567	0.8053335982828432	205.0	1.0	0.8022947043224371	1.0037877527347916
51	51	37	0.1	2	Original	Slow	5	Nitrate	-116.08052094485063	74.34956274731906	0.25650437252680963	205.0	1.0	0.25330455902222376	1.0126322775908077
52	52	37	0.1	2	Original	Slow	5	Sulphate	-7.28820293716126e-06	7.7801554929431e-07	0.9999999922198445	205.0	1.0	0.9999999933235211	0.9999999988963234
53	53	37	0.1	2	Original	Slow	5	Particulate organic matter	2.1143547206247733	-67.7121999848137	1.677121999848137	205.0	1.0	1.6792761829453984	0.9987171954684172
54	54	37	0.1	2	Original	Slow	5	Nitrogen	-110.14137472753531	56.45449756220396	0.43545502437796046	205.0	1.0	0.43018861572790246	1.012242092090575
55	55	37	0.1	2	Original	Slow	5	TOC	-163.2265983044262	31.719241766335426	0.6828075823366458	205.0	1.0	0.6739878698428953	1.0130858623550694
56	56	37	0.1	2	Original	Slow	1	DOC	-295.7123674981013	59.222349896969384	0.4077765010303062	205.0	1.0	0.40761873670699966	1.0003870389388405
57	57	37	0.1	2	Original	Slow	1	DO	-155.37195277566445	99.57234840659002	0.004276515934099757	205.0	1.0	0.004273277978396626	1.0007577217582146
58	58	37	0.1	2	Original	Slow	1	Ammonium	-7.3083011484348015	19.51512416956124	0.8048487583043875	205.0	1.0	0.8022947043224371	1.0031834361715093
59	59	37	0.1	2	Original	Slow	1	Nitrate	-116.32815140899507	74.55056729778866	0.25449432702211344	205.0	1.0	0.25330455902222376	1.0046969861280124
60	60	37	0.1	2	Original	Slow	1	Sulphate	-6.595059176106587e-06	7.044230724120536e-07	0.9999999929557692	205.0	1.0	0.9999999933235211	0.9999999996322482
61	61	37	0.1	2	Original	Slow	1	Particulate organic matter	2.1342470849103403	-68.38814552047229	1.6838814552047228	205.0	1.0	1.6792761829453984	1.0027424150393456
62	62	37	0.1	2	Original	Slow	1	Nitrogen	-110.68872870103365	56.76733532733788	0.4323266467266213	205.0	1.0	0.43018861572790246	1.0049699850729457
63	63	37	0.1	2	Original	Slow	1	TOC	-166.23512893413857	32.32226059947887	0.6767773940052112	205.0	1.0	0.6739878698428953	1.0041388343724438
64	64	38	0.1	5	Original	Slow	0	DOC	-0.27206804153810005	59.24270767727501	0.4075729232272498	205.0	1.0	0.4075729232272498	1.0
65	65	38	0.1	5	Original	Slow	0	DO	-0.14290071688934886	99.57303738801019	0.0042696261198981724	205.0	1.0	0.0042696261198981724	1.0
66	66	38	0.1	5	Original	Slow	0	Ammonium	-0.006770913990205942	19.658184325853355	0.8034181567414663	205.0	1.0	0.8034181567414663	1.0
67	67	38	0.1	5	Original	Slow	0	Nitrate	-0.1071533901493989	74.66434567896418	0.2533565432103582	205.0	1.0	0.2533565432103582	1.0
68	68	38	0.1	5	Original	Slow	0	Sulphate	-5.720838136547002e-09	6.643787869660522e-07	0.999999993356212	205.0	1.0	0.999999993356212	1.0
69	69	38	0.1	5	Original	Slow	0	Particulate organic matter	0.0019324015790624625	-67.32474786310124	1.6732474786310125	205.0	1.0	1.6732474786310125	1.0
70	70	38	0.1	5	Original	Slow	0	Nitrogen	-0.1021623469131816	56.967504092129424	0.4303249590787058	205.0	1.0	0.4303249590787058	1.0
71	71	38	0.1	5	Original	Slow	0	TOC	-0.15444846927386752	32.65154627756051	0.6734845372243948	205.0	1.0	0.6734845372243948	1.0
72	72	38	0.1	5	Original	Slow	2	DOC	-297.61408364033815	59.17986865415699	0.40820131345843014	205.0	1.0	0.4075729232272498	1.00154178601023
