,Unnamed: 0,Trial,Variance,Anisotropy,Regime,Time_series,Chem,Sensitivity,Timloc_max,Sensitivitybase,Timloc_maxbase,fraction,Time,Sensitivity%,Sensitivitybase%,cov,sensbase,Senssquared
32,32,H,0.0,1,Slow,5,Immobile active aerobic degraders,0.1090621269104678,1.0,0.1073368460480124,0.1073368460480124,1.0,205.0,10.906212691046779,10.73368460480124,0.27,10.73368460480124,1.0
33,33,H,0.0,1,Slow,5,Immobile active nitrate reducers,0.1900784054885137,1.0,0.18708558380143,0.18708558380143,1.0,205.0,19.00784054885137,18.708558380143,0.27,18.708558380143,1.0
34,34,H,0.0,1,Slow,5,Immobile active sulphate reducers,0.08398941708581874,1.0,0.0851847809700711,0.0851847809700711,1.0,205.0,8.398941708581871,8.51847809700711,0.27,8.51847809700711,1.0
35,35,H,0.0,1,Slow,5,Immobile active ammonia oxidizers,0.3679328005174816,1.0,0.3213452915289449,0.3213452915289449,1.0,205.0,36.793280051748155,32.13452915289449,0.27,32.13452915289449,1.0
36,36,H,0.0,1,Slow,5,Mobile active aerobic degraders,0.15209007504903044,1.0,0.17341966369061712,0.17341966369061712,1.0,205.0,15.209007504903045,17.341966369061712,0.27,17.341966369061712,1.0
37,37,H,0.0,1,Slow,5,Mobile active nitrate reducers,0.0773924743762822,3.0,0.0848682972417175,0.0848682972417175,1.0,205.0,7.7392474376282205,8.48682972417175,0.27,8.48682972417175,1.0
38,38,H,0.0,1,Slow,5,Mobile active sulphate reducers,0.09567942792708296,1.0,0.09663735305788032,0.09663735305788032,1.0,205.0,9.567942792708298,9.663735305788032,0.27,9.663735305788032,1.0
39,39,H,0.0,1,Slow,5,Mobile active ammonia oxidizers,0.2165508938553286,1.0,0.18624154059922907,0.18624154059922907,1.0,205.0,21.65508938553286,18.62415405992291,0.27,18.62415405992291,1.0
40,40,H,0.0,1,Slow,5,Immobile inactive aerobic degraders,0.057029108030614006,1.0,0.057837068208486074,0.057837068208486074,1.0,205.0,5.702910803061401,5.783706820848606,0.27,5.783706820848606,1.0
41,41,H,0.0,1,Slow,5,Immobile inactive nitrate reducers,0.027532147032852082,1.0,0.02805287265662246,0.02805287265662246,1.0,205.0,2.753214703285208,2.8052872656622463,0.27,2.8052872656622463,1.0
42,42,H,0.0,1,Slow,5,Immobile inactive sulphate reducers,0.17028780086669396,1.0,0.16386034699013166,0.16386034699013166,1.0,205.0,17.028780086669396,16.386034699013162,0.27,16.386034699013162,1.0
43,43,H,0.0,1,Slow,5,Immobile inactive ammonia oxidizers,0.13763640471467692,3.0,0.14847338541975913,0.14847338541975913,1.0,205.0,13.763640471467692,14.847338541975914,0.27,14.847338541975914,1.0
