	Trial	Variance	Anisotropy	Domain	Regime	Time_series	Chem	Delay	Memory	Crosscorrelation	fraction	Time
70	37	0.1	2	Original	Slow	2	Mobile active sulphate reducers	0	155	0.9873042775956072	1.0	205.0
71	37	0.1	2	Original	Slow	2	Mobile active ammonia oxidizers	15	80	0.7939746008489525	1.0	205.0
72	37	0.1	2	Original	Slow	2	Immobile inactive aerobic degraders	155	0	-0.8934880535877686	1.0	205.0
73	37	0.1	2	Original	Slow	2	Immobile inactive nitrate reducers	10	0	-0.8618085115648669	1.0	205.0
74	37	0.1	2	Original	Slow	2	Immobile inactive sulphate reducers	370	330	0.8446216241764196	1.0	205.0
75	37	0.1	2	Original	Slow	2	Immobile inactive ammonia oxidizers	935	0	0.6556831704632059	1.0	205.0
76	37	0.1	2	Original	Slow	2	Mobile inactive aerobic degraders	155	0	-0.8805373760046352	1.0	205.0
77	37	0.1	2	Original	Slow	2	Mobile inactive nitrate reducers	145	0	-0.8764473693246058	1.0	205.0
78	37	0.1	2	Original	Slow	2	Mobile inactive sulphate reducers	40	0	-0.6416757316162253	1.0	205.0
79	37	0.1	2	Original	Slow	2	Mobile inactive ammonia oxidizers	15	0	-0.756820822473972	1.0	205.0
80	37	0.1	2	Original	Slow	5	Immobile active aerobic degraders	0	205	0.9810778301871529	1.0	205.0
81	37	0.1	2	Original	Slow	5	Immobile active nitrate reducers	25	240	0.9854082676841205	1.0	205.0
82	37	0.1	2	Original	Slow	5	Immobile active sulphate reducers	395	120	0.7142229210254798	1.0	205.0
83	37	0.1	2	Original	Slow	5	Immobile active ammonia oxidizers	30	250	0.9537047520375009	1.0	205.0
84	37	0.1	2	Original	Slow	5	Mobile active aerobic degraders	15	0	-0.7438987016859798	1.0	205.0
85	37	0.1	2	Original	Slow	5	Mobile active nitrate reducers	170	0	-0.7168021939668757	1.0	205.0
86	37	0.1	2	Original	Slow	5	Mobile active sulphate reducers	0	160	0.9847069107249716	1.0	205.0
87	37	0.1	2	Original	Slow	5	Mobile active ammonia oxidizers	15	155	0.8358782182646936	1.0	205.0
88	37	0.1	2	Original	Slow	5	Immobile inactive aerobic degraders	155	0	-0.9089148509072998	1.0	205.0
89	37	0.1	2	Original	Slow	5	Immobile inactive nitrate reducers	10	0	-0.8564769775701115	1.0	205.0
90	37	0.1	2	Original	Slow	5	Immobile inactive sulphate reducers	295	310	0.8508475111469171	1.0	205.0
91	37	0.1	2	Original	Slow	5	Immobile inactive ammonia oxidizers	680	0	0.4880490439532928	1.0	205.0
