Unnamed: 0,Trial,Variance,Anisotropy,Domain,Regime,Time_series,Chem,delmassflux,reldelmassflux,normmassflux,Time,fraction,reldelmf_h_base,reldelmf_t_base,reldelmf_h_fraction,reldelmf_t_fraction
93,38,0.1,5,Original,Slow,1,Particulate organic matter,2.131811929830046,-67.89520596344272,0.5956096210500129,205.0,1.0,-67.75715171767521,-67.32474786310124,1.0020374859666878,1.0084732304011217
94,38,0.1,5,Original,Slow,1,Nitrogen,-111.34573261409984,56.75743730903582,2.3125363941692494,205.0,1.0,56.99004817483291,56.967504092129424,0.995918394996202,0.9963125155921545
95,38,0.1,5,Original,Slow,1,TOC,-167.5112111829759,32.37254873171688,1.4786894689154049,205.0,1.0,32.6212498437508,32.65154627756051,0.9923761010621865,0.9914553037252215
96,39,0.1,10,Original,Slow,0,DOC,-0.2708002089888094,59.21873607601488,2.452106442468202,202.5,0.9878048780487804,59.237211277775955,59.21873607601488,0.9996881149304203,1.0
97,39,0.1,10,Original,Slow,0,DO,-0.14229134485736486,99.57231425750004,233.81653878724828,202.5,0.9878048780487804,99.57274402855921,99.57231425750004,0.9999956838483928,1.0
98,39,0.1,10,Original,Slow,0,Ammonium,-0.006787656391523782,19.791044914638306,1.2467435823540631,202.5,0.9878048780487804,19.7865419150961,19.791044914638306,1.0002275789049713,1.0
99,39,0.1,10,Original,Slow,0,Nitrate,-0.10662650496648432,74.61485356923407,3.939311528997265,202.5,0.9878048780487804,74.6699378000362,74.61485356923407,0.9992622970846763,1.0
100,39,0.1,10,Original,Slow,0,Sulphate,-5.747234355091279e-09,6.702977681581145e-07,1.0000000067029775,202.5,0.9878048780487804,6.663596769888404e-07,6.702977681581145e-07,1.0059098581520862,1.0
101,39,0.1,10,Original,Slow,0,Particulate organic matter,0.0019446106115485649,-68.03975994312245,0.5950972557557074,202.5,0.9878048780487804,-67.75715171767521,-68.03975994312245,1.004170898839207,1.0
102,39,0.1,10,Original,Slow,0,Nitrogen,-0.10170736139164432,56.956263161378935,2.3232183668188133,202.5,0.9878048780487804,56.99004817483291,56.956263161378935,0.9994071769627159,1.0
103,39,0.1,10,Original,Slow,0,TOC,-0.1537322093251714,32.639070515887816,1.4845400852668773,202.5,0.9878048780487804,32.6212498437508,32.639070515887816,1.0005462902930566,1.0
104,39,0.1,10,Original,Slow,2,DOC,-296.30797827214064,59.17205233336207,2.449302639860925,202.5,0.9878048780487804,59.237211277775955,59.21873607601488,0.9989000335598456,0.9992116727619298
105,39,0.1,10,Original,Slow,2,DO,-155.8153076040042,99.57111883004521,233.1648181489096,202.5,0.9878048780487804,99.57274402855921,99.57231425750004,0.9999836782793338,0.9999879943791229
106,39,0.1,10,Original,Slow,2,Ammonium,-7.32632012472299,19.507333793216013,1.2423492066109734,202.5,0.9878048780487804,19.7865419150961,19.791044914638306,0.9858889884307137,0.985664671944004
107,39,0.1,10,Original,Slow,2,Nitrate,-116.46556250361563,74.42533433959959,3.910119542827069,202.5,0.9878048780487804,74.6699378000362,74.61485356923407,0.9967242043097498,0.9974600334843701
108,39,0.1,10,Original,Slow,2,Sulphate,-6.943982043594588e-06,7.395722451241879e-07,1.0000000073957225,202.5,0.9878048780487804,6.663596769888404e-07,6.702977681581145e-07,1.1098694453814824,1.103348810419629
109,39,0.1,10,Original,Slow,2,Particulate organic matter,2.115156912882593,-67.58275023018726,0.5967201269978123,202.5,0.9878048780487804,-67.75715171767521,-68.03975994312245,0.9974260800068067,0.9932831962764533
110,39,0.1,10,Original,Slow,2,Nitrogen,-110.77018899217572,56.64676927644712,2.306633169686063,202.5,0.9878048780487804,56.99004817483291,56.956263161378935,0.993976511524737,0.9945661132287611
111,39,0.1,10,Original,Slow,2,TOC,-166.09104191051154,32.201957477405145,1.474968838026161,202.5,0.9878048780487804,32.6212498437508,32.639070515887816,0.9871466492438523,0.9866076750479185
112,39,0.1,10,Original,Slow,5,DOC,-295.99228908257555,59.136599843133716,2.44717766059898,202.5,0.9878048780487804,59.237211277775955,59.21873607601488,0.998301550115679,0.9986130026014786
113,39,0.1,10,Original,Slow,5,DO,-155.7408888435649,99.57001678714931,232.56721893170442,202.5,0.9878048780487804,99.57274402855921,99.57231425750004,0.9999726105628954,0.9999769266149144
114,39,0.1,10,Original,Slow,5,Ammonium,-7.309482081434978,19.47158458080806,1.2417976869338407,202.5,0.9878048780487804,19.7865419150961,19.791044914638306,0.9840822446064844,0.9838583392030019
115,39,0.1,10,Original,Slow,5,Nitrate,-116.19300466735928,74.28581865163997,3.888904672688625,202.5,0.9878048780487804,74.6699378000362,74.61485356923407,0.9948557724873847,0.9955902222968408
116,39,0.1,10,Original,Slow,5,Sulphate,-7.325400133595394e-06,7.805595345905173e-07,1.0000000078055955,202.5,0.9878048780487804,6.663596769888404e-07,6.702977681581145e-07,1.1713787036420416,1.1644966933656768
117,39,0.1,10,Original,Slow,5,Particulate organic matter,2.121253287759955,-67.8091755608922,0.5959149710720879,202.5,0.9878048780487804,-67.75715171767521,-68.03975994312245,1.0007677985555496,0.9966110347475798
118,39,0.1,10,Original,Slow,5,Nitrogen,-110.26904202368776,56.41680875732029,2.2944625473426323,202.5,0.9878048780487804,56.99004817483291,56.956263161378935,0.9899414119504857,0.9905286201355913
119,39,0.1,10,Original,Slow,5,TOC,-163.65784183151078,31.745015843192743,1.4650944723723407,202.5,0.9878048780487804,32.6212498437508,32.639070515887816,0.9731391652755476,0.9726078390541216
120,39,0.1,10,Original,Slow,1,DOC,-296.14800422474207,59.20137843433743,2.451063201707854,202.5,0.9878048780487804,59.237211277775955,59.21873607601488,0.9993950957064724,0.9997068893592196
121,39,0.1,10,Original,Slow,1,DO,-155.65542733819274,99.5720056485132,233.64794337265099,202.5,0.9878048780487804,99.57274402855921,99.57231425750004,0.9999925845164436,0.9999969006546735
122,39,0.1,10,Original,Slow,1,Ammonium,-7.322003007092582,19.516037690005323,1.2424835598281891,202.5,0.9878048780487804,19.7865419150961,19.791044914638306,0.9863288781712585,0.9861044615977009
123,39,0.1,10,Original,Slow,1,Nitrate,-116.446264129473,74.49009821197006,3.920046452194623,202.5,0.9878048780487804,74.6699378000362,74.61485356923407,0.9975915396026211,0.9983280090853727
124,39,0.1,10,Original,Slow,1,Sulphate,-6.639810067099462e-06,7.079089336536311e-07,1.000000007079089,202.5,0.9878048780487804,6.663596769888404e-07,6.702977681581145e-07,1.0623525974028687,1.0561111304291926
125,39,0.1,10,Original,Slow,1,Particulate organic matter,2.139737547418989,-68.43897537058835,0.5936868220670815,202.5,0.9878048780487804,-67.75715171767521,-68.03975994312245,1.0100627555265915,1.0058673844205157
126,39,0.1,10,Original,Slow,1,Nitrogen,-110.82596862748699,56.734013305060216,2.3112843977205686,202.5,0.9878048780487804,56.99004817483291,56.956263161378935,0.9955073757967842,0.9960978855707405
127,39,0.1,10,Original,Slow,1,TOC,-166.72501913395615,32.35836428222052,1.4783793877668632,202.5,0.9878048780487804,32.6212498437508,32.639070515887816,0.9919412786821642,0.9913996866568043
128,40,1.0,2,Original,Slow,0,DOC,-0.2660356066783919,59.12047212208843,2.446212204276288,167.5,0.8170731707317073,59.237211277775955,59.12047212208843,0.9980292935273386,1.0
129,40,1.0,2,Original,Slow,0,DO,-0.14001131833849034,99.56604345960908,230.43782197615883,167.5,0.8170731707317073,99.57274402855921,99.56604345960908,0.9999327067962673,1.0
130,40,1.0,2,Original,Slow,0,Ammonium,-0.006584607580478085,19.51042638023765,1.24239694040878,167.5,0.8170731707317073,19.7865419150961,19.51042638023765,0.9860452859300397,1.0
131,40,1.0,2,Original,Slow,0,Nitrate,-0.10400800904891762,73.96306292949943,3.840697534015952,167.5,0.8170731707317073,74.6699378000362,73.96306292949943,0.990533340573689,1.0
132,40,1.0,2,Original,Slow,0,Sulphate,-5.6155841088312294e-09,6.655670151837913e-07,1.0000000066556702,167.5,0.8170731707317073,6.663596769888404e-07,6.655670151837913e-07,0.9988104595274568,1.0
133,40,1.0,2,Original,Slow,0,Particulate organic matter,0.0019337773900368414,-68.75821395815218,0.592563749369838,167.5,0.8170731707317073,-67.75715171767521,-68.75821395815218,1.0147742668500606,1.0
134,40,1.0,2,Original,Slow,0,Nitrogen,-0.09777934351724402,55.64475123668303,2.2545246118133098,167.5,0.8170731707317073,56.99004817483291,55.64475123668303,0.9763941779093991,1.0
